year_month,variable,value
2020-10,play bridge,13.088888888888874
2020-11,play bridge,6.888888888888886
2020-12,play bridge,5.48888888888888
2021-01,play bridge,-4.796296296296305
2021-02,play bridge,-1.7962962962963047
2021-03,play bridge,-8.548148148148158
2021-04,play bridge,-3.748148148148161
2021-05,play bridge,3.251851851851839
2021-06,play bridge,9.451851851851842
2021-07,play bridge,-2.748148148148161
2021-08,play bridge,9.25185185185184
2021-09,play bridge,-3.748148148148175
2021-10,play bridge,-8.948148148148164
2020-03,play go,3.2666666666666746
2020-04,play go,5.666666666666673
2020-05,play go,6.066666666666666
2020-06,play go,4.26666666666667
2020-07,play go,-12.73333333333333
2020-08,play go,-0.13333333333333464
2020-09,play go,0.8666666666666671
2020-10,play go,2.866666666666669
2020-11,play go,1.866666666666669
2020-12,play go,0.8666666666666707
2021-01,play go,4.044444444444451
2021-02,play go,2.7111111111111086
2021-03,play go,4.422222222222231
2021-04,play go,3.82222222222223
2021-05,play go,4.222222222222223
2021-06,play go,4.422222222222225
2021-07,play go,-13.577777777777772
2021-08,play go,1.0222222222222221
2021-09,play go,1.0222222222222221
2021-10,play go,4.022222222222225
2020-03,play guitar,15.377777777777766
2020-04,play guitar,34.17777777777778
2020-05,play guitar,25.577777777777776
2020-06,play guitar,12.37777777777778
2020-07,play guitar,10.777777777777771
2020-08,play guitar,12.177777777777777
2020-09,play guitar,16.577777777777776
2020-10,play guitar,13.977777777777781
2020-11,play guitar,10.977777777777774
2020-12,play guitar,9.777777777777786
2021-01,play guitar,10.00740740740742
2021-02,play guitar,11.007407407407413
2021-03,play guitar,6.570370370370362
2021-04,play guitar,5.370370370370381
2021-05,play guitar,6.770370370370372
2021-06,play guitar,7.5703703703703695
2021-07,play guitar,6.970370370370375
2021-08,play guitar,8.370370370370367
2021-09,play guitar,6.770370370370372
2021-10,play guitar,7.170370370370378
2020-03,play piano,13.399999999999991
2020-04,play piano,33.0
2020-05,play piano,13.600000000000009
2020-06,play piano,2.20000000000001
2020-07,play piano,0.6000000000000014
2020-08,play piano,10.600000000000009
2020-09,play piano,3.6000000000000227
2020-10,play piano,5.000000000000007
2020-11,play piano,-11.59999999999998
2020-12,play piano,-14.799999999999997
2021-01,play piano,-7.8999999999999915
2021-02,play piano,-7.566666666666649
2021-03,play piano,-9.333333333333336
2021-04,play piano,-6.733333333333334
2021-05,play piano,-9.133333333333326
2021-06,play piano,-7.533333333333317
2021-07,play piano,-4.133333333333326
2021-08,play piano,-4.133333333333326
2021-09,play piano,-1.1333333333333115
2021-10,play piano,7.26666666666668
2020-03,podcast hosting,14.600000000000001
2020-04,podcast hosting,13.399999999999999
2020-05,podcast hosting,23.200000000000003
2020-06,podcast hosting,6.599999999999994
2020-07,podcast hosting,-20.799999999999997
2020-08,podcast hosting,-4.400000000000006
2020-09,podcast hosting,-16.400000000000006
2020-10,podcast hosting,-39.2
2020-11,podcast hosting,-31.400000000000006
2020-12,podcast hosting,-22.79999999999999
2021-01,podcast hosting,-25.333333333333343
2021-02,podcast hosting,-32.000000000000014
2021-03,podcast hosting,-28.400000000000006
2021-04,podcast hosting,-20.6
2021-05,podcast hosting,-27.799999999999997
2021-06,podcast hosting,-51.400000000000006
2021-07,podcast hosting,-33.8
2021-08,podcast hosting,-56.400000000000006
2021-09,podcast hosting,-27.400000000000006
2021-10,podcast hosting,-6.200000000000003
2020-03,podcasts,-14.188888888888897
2020-04,podcasts,-23.78888888888889
2020-05,podcasts,-19.58888888888889
2020-06,podcasts,-18.988888888888894
2020-07,podcasts,-21.58888888888889
2020-08,podcasts,-20.388888888888886
2020-09,podcasts,-20.188888888888897
2020-10,podcasts,-27.78888888888889
2020-11,podcasts,-31.98888888888888
2020-12,podcasts,-32.58888888888889
2021-01,podcasts,-31.3537037037037
2021-02,podcasts,-35.187037037037044
2021-03,podcasts,-34.71851851851852
2021-04,podcasts,-40.318518518518516
2021-05,podcasts,-43.11851851851853
2021-06,podcasts,-40.51851851851853
2021-07,podcasts,-46.11851851851853
2021-08,podcasts,-45.918518518518525
2021-09,podcasts,-39.71851851851852
2021-10,podcasts,-46.318518518518516
2020-03,poetry,-11.56666666666667
2020-04,poetry,-8.566666666666663
2020-05,poetry,-4.966666666666676
2020-06,poetry,5.233333333333334
2020-07,poetry,9.233333333333327
2020-08,poetry,7.633333333333333
2020-09,poetry,5.0333333333333385
2020-10,poetry,-6.766666666666659
2020-11,poetry,-10.966666666666683
2020-12,poetry,-6.966666666666683
2021-01,poetry,-12.261111111111106
2021-02,poetry,-15.094444444444449
2021-03,poetry,-13.355555555555561
2021-04,poetry,-24.35555555555554
2021-05,poetry,-14.755555555555567
2021-06,poetry,4.444444444444443
2021-07,poetry,8.444444444444443
2021-08,poetry,3.8444444444444343
2021-09,poetry,0.24444444444445423
2021-10,poetry,-7.55555555555555
2020-03,poi,-8.166666666666671
2020-04,poi,10.033333333333331
2020-05,poi,5.433333333333337
2020-06,poi,0.4333333333333371
2020-07,poi,5.233333333333334
2020-08,poi,29.833333333333343
2020-09,poi,13.833333333333329
2020-10,poi,-5.366666666666674
2020-11,poi,-0.7666666666666728
2020-12,poi,-0.9666666666666686
2021-01,poi,-7.49444444444444
2021-02,poi,-10.99444444444444
2021-03,poi,1.311111111111103
2021-04,poi,-4.488888888888894
2021-05,poi,-1.0888888888888886
2021-06,poi,3.9111111111111114
2021-07,poi,2.7111111111111086
2021-08,poi,3.311111111111117
2021-09,poi,10.31111111111111
2021-10,poi,-6.8888888888889
2020-03,poker,7.37777777777778
2020-04,poker,20.97777777777778
2020-05,poker,10.777777777777779
2020-06,poker,-0.62222222222222
2020-07,poker,30.777777777777786
2020-08,poker,1.7777777777777786
2020-09,poker,0.5777777777777757
2020-10,poker,2.37777777777778
2020-11,poker,-3.62222222222222
2020-12,poker,2.177777777777777
2021-01,poker,3.5407407407407447
2021-02,poker,11.874074074074066
2021-03,poker,10.770370370370372
2021-04,poker,5.370370370370374
2021-05,poker,7.170370370370378
2021-06,poker,2.7703703703703724
2021-07,poker,-9.829629629629622
2021-08,poker,5.170370370370371
2021-09,poker,5.970370370370368
2021-10,poker,13.770370370370372
2020-03,polo,-6.211111111111109
2020-04,polo,-6.811111111111117
2020-05,polo,5.588888888888889
2020-06,polo,5.988888888888887
2020-07,polo,-0.6111111111111143
2020-08,polo,-8.411111111111111
2020-09,polo,1.3888888888888857
2020-10,polo,0.98888888888888
2020-11,polo,-0.011111111111105743
2020-12,polo,-0.6111111111111143
2021-01,polo,0.35370370370369386
2021-02,polo,3.853703703703701
2021-03,polo,11.651851851851845
2021-04,polo,20.05185185185185
2021-05,polo,16.45185185185185
2021-06,polo,34.85185185185185
2021-07,polo,22.251851851851846
2021-08,polo,18.45185185185185
2021-09,polo,10.251851851851846
2021-10,polo,13.851851851851848
2020-03,pool,-8.566666666666642
2020-04,pool,2.633333333333333
2020-05,pool,27.83333333333333
2020-06,pool,13.633333333333312
2020-07,pool,6.633333333333354
2020-08,pool,1.4333333333333513
2020-09,pool,0.8333333333333286
2020-10,pool,-1.3666666666666742
2020-11,pool,-3.3666666666666636
2020-12,pool,-4.166666666666664
2021-01,pool,-3.0277777777777857
2021-02,pool,-1.194444444444457
2021-03,pool,3.3777777777778013
2021-04,pool,5.577777777777776
2021-05,pool,7.777777777777779
2021-06,pool,12.577777777777754
2021-07,pool,-0.42222222222221717
2021-08,pool,1.3777777777777942
2021-09,pool,-1.2222222222222285
2021-10,pool,-0.4222222222222314
2020-03,postcrossing,18.455555555555577
2020-04,postcrossing,-20.544444444444444
2020-05,postcrossing,-0.1444444444444528
2020-06,postcrossing,10.255555555555553
2020-07,postcrossing,-6.144444444444446
2020-08,postcrossing,3.0555555555555713
2020-09,postcrossing,-12.944444444444464
2020-10,postcrossing,-8.14444444444446
2020-11,postcrossing,-16.54444444444445
2020-12,postcrossing,51.45555555555556
2021-01,postcrossing,10.964814814814815
2021-02,postcrossing,9.464814814814808
2021-03,postcrossing,-16.125925925925912
2021-04,postcrossing,9.874074074074073
2021-05,postcrossing,47.274074074074065
2021-06,postcrossing,-11.32592592592593
2021-07,postcrossing,-20.725925925925928
2021-08,postcrossing,-29.525925925925918
2021-09,postcrossing,-9.525925925925947
2021-10,postcrossing,2.274074074074065
2020-03,pottery,-7.399999999999999
2020-04,pottery,2.200000000000003
2020-05,pottery,14.20000000000001
2020-06,pottery,4.6000000000000085
2020-07,pottery,-2.5999999999999943
2020-08,pottery,5.200000000000017
2020-09,pottery,7.800000000000011
2020-10,pottery,8.800000000000004
2020-11,pottery,4.800000000000011
2020-12,pottery,5.200000000000017
2021-01,pottery,10.333333333333329
2021-02,pottery,13.333333333333343
2021-03,pottery,11.600000000000009
2021-04,pottery,14.200000000000003
2021-05,pottery,10.20000000000001
2021-06,pottery,4.6000000000000085
2021-07,pottery,2.4000000000000057
2021-08,pottery,5.200000000000017
2021-09,pottery,9.800000000000004
2021-10,pottery,12.800000000000011
2020-03,powerboat racing,-5.077777777777769
2020-04,powerboat racing,-16.07777777777777
2020-05,powerboat racing,-40.47777777777779
2020-06,powerboat racing,16.722222222222207
2020-07,powerboat racing,-79.07777777777778
2020-08,powerboat racing,9.322222222222223
2020-09,powerboat racing,0.1222222222221987
2020-10,powerboat racing,-13.677777777777791
2020-11,powerboat racing,-31.877777777777787
2020-12,powerboat racing,-30.277777777777786
2021-01,powerboat racing,-5.490740740740748
2021-02,powerboat racing,-3.990740740740776
2021-03,powerboat racing,-25.503703703703692
2021-04,powerboat racing,-43.50370370370369
2021-05,powerboat racing,-54.90370370370371
2021-06,powerboat racing,-9.703703703703724
2021-07,powerboat racing,-53.503703703703735
2021-08,powerboat racing,34.89629629629629
2021-09,powerboat racing,-19.303703703703732
2021-10,powerboat racing,-8.103703703703722
2020-03,powerlifting,-27.11111111111113
2020-04,powerlifting,-41.91111111111111
2020-05,powerlifting,-28.1111111111111
2020-06,powerlifting,-23.311111111111103
2020-07,powerlifting,-32.111111111111114
2020-08,powerlifting,-23.511111111111106
2020-09,powerlifting,-17.311111111111103
2020-10,powerlifting,-14.511111111111106
2020-11,powerlifting,-28.71111111111111
2020-12,powerlifting,-16.91111111111111
2021-01,powerlifting,-22.562962962962956
2021-02,powerlifting,-22.562962962962942
2021-03,powerlifting,-21.74814814814816
2021-04,powerlifting,-21.548148148148144
2021-05,powerlifting,-10.748148148148132
2021-06,powerlifting,-3.9481481481481353
2021-07,powerlifting,-14.748148148148147
2021-08,powerlifting,-9.148148148148152
2021-09,powerlifting,-6.948148148148135
2021-10,powerlifting,-9.148148148148138
2020-03,practical jokes,-4.566666666666656
2020-04,practical jokes,4.833333333333336
2020-05,practical jokes,6.833333333333346
2020-06,practical jokes,-0.3666666666666636
2020-07,practical jokes,10.83333333333335
2020-08,practical jokes,-0.1666666666666572
2020-09,practical jokes,10.63333333333335
2020-10,practical jokes,2.0333333333333456
2020-11,practical jokes,0.8333333333333428
2020-12,practical jokes,-7.166666666666664
2021-01,practical jokes,-1.2277777777777636
2021-02,practical jokes,-2.72777777777776
2021-03,practical jokes,-8.155555555555544
2021-04,practical jokes,-2.7555555555555458
2021-05,practical jokes,13.244444444444461
2021-06,practical jokes,5.044444444444448
2021-07,practical jokes,7.244444444444461
2021-08,practical jokes,10.244444444444454
2021-09,practical jokes,-5.955555555555534
2021-10,practical jokes,-4.555555555555543
2020-03,project euler,6.577777777777765
2020-04,project euler,7.977777777777774
2020-05,project euler,15.97777777777776
2020-06,project euler,16.17777777777777
2020-07,project euler,15.777777777777771
2020-08,project euler,-4.422222222222235
2020-09,project euler,6.377777777777762
2020-10,project euler,-4.222222222222239
2020-11,project euler,-0.6222222222222342
2020-12,project euler,-0.0222222222222328
2021-01,project euler,-2.159259259259265
2021-02,project euler,15.507407407407399
2021-03,project euler,6.770370370370358
2021-04,project euler,14.170370370370364
2021-05,project euler,16.17037037037035
2021-06,project euler,15.37037037037036
2021-07,project euler,11.970370370370361
2021-08,project euler,6.770370370370358
2021-09,project euler,16.570370370370355
2021-10,project euler,6.970370370370354
2020-03,public speaking,-12.911111111111104
2020-04,public speaking,-11.1111111111111
2020-05,public speaking,-12.311111111111096
2020-06,public speaking,0.6888888888889113
2020-07,public speaking,1.8888888888889142
2020-08,public speaking,-4.911111111111097
2020-09,public speaking,0.08888888888890278
2020-10,public speaking,-3.5111111111110915
2020-11,public speaking,-16.311111111111103
2020-12,public speaking,-17.51111111111109
2021-01,public speaking,-18.52962962962961
2021-02,public speaking,-17.52962962962961
2021-03,public speaking,-10.68148148148147
2021-04,public speaking,-10.881481481481465
2021-05,public speaking,-13.081481481481461
2021-06,public speaking,-1.081481481481454
2021-07,public speaking,2.118518518518542
2021-08,public speaking,-13.681481481481462
2021-09,public speaking,-15.681481481481455
2021-10,public speaking,-9.281481481481457
2020-03,puppetry,0.011111111111105743
2020-04,puppetry,-26.388888888888886
2020-05,puppetry,-10.388888888888886
2020-06,puppetry,-19.78888888888889
2020-07,puppetry,-22.388888888888893
2020-08,puppetry,-14.388888888888886
2020-09,puppetry,-21.988888888888887
2020-10,puppetry,-6.588888888888889
2020-11,puppetry,-21.18888888888889
2020-12,puppetry,-7.588888888888889
2021-01,puppetry,-16.520370370370365
2021-02,puppetry,-20.68703703703703
2021-03,puppetry,-18.851851851851848
2021-04,puppetry,-24.251851851851853
2021-05,puppetry,-13.251851851851853
2021-06,puppetry,-13.651851851851852
2021-07,puppetry,-13.251851851851853
2021-08,puppetry,-3.251851851851846
2021-09,puppetry,-8.851851851851848
2021-10,puppetry,6.548148148148151
2020-03,puzzles,30.411111111111104
2020-04,puzzles,61.01111111111111
2020-05,puzzles,25.21111111111111
2020-06,puzzles,14.011111111111113
2020-07,puzzles,13.011111111111113
2020-08,puzzles,6.611111111111114
2020-09,puzzles,9.211111111111116
2020-10,puzzles,8.01111111111112
2020-11,puzzles,9.211111111111116
2020-12,puzzles,13.811111111111117
2021-01,puzzles,8.279629629629632
2021-02,puzzles,7.446296296296303
2021-03,puzzles,6.014814814814812
2021-04,puzzles,3.614814814814814
2021-05,puzzles,2.8148148148148167
2021-06,puzzles,5.614814814814814
2021-07,puzzles,4.614814814814814
2021-08,puzzles,5.214814814814815
2021-09,puzzles,2.8148148148148167
2021-10,puzzles,8.614814814814821
2020-03,pyrography,9.122222222222199
2020-04,pyrography,9.522222222222219
2020-05,pyrography,30.922222222222203
2020-06,pyrography,7.322222222222209
2020-07,pyrography,10.522222222222211
2020-08,pyrography,-2.0777777777777686
2020-09,pyrography,-8.477777777777774
2020-10,pyrography,-3.4777777777777743
2020-11,pyrography,8.522222222222226
2020-12,pyrography,22.52222222222221
2021-01,pyrography,3.275925925925918
2021-02,pyrography,-2.890740740740739
2021-03,pyrography,-7.037037037037059
2021-04,pyrography,-1.6370370370370395
2021-05,pyrography,-9.237037037037055
2021-06,pyrography,-11.83703703703705
2021-07,pyrography,1.3629629629629534
2021-08,pyrography,-8.237037037037027
2021-09,pyrography,-12.637037037037032
2021-10,pyrography,-5.6370370370370395
2020-03,python programming,-18.344444444444463
2020-04,python programming,-5.344444444444463
2020-05,python programming,-10.344444444444449
2020-06,python programming,-16.144444444444446
2020-07,python programming,-6.744444444444454
2020-08,python programming,-11.144444444444446
2020-09,python programming,-16.144444444444446
2020-10,python programming,-23.344444444444463
2020-11,python programming,-39.14444444444446
2020-12,python programming,-18.34444444444445
2021-01,python programming,-28.835185185185196
2021-02,python programming,-24.335185185185196
2021-03,python programming,-32.39259259259261
2021-04,python programming,-34.39259259259261
2021-05,python programming,-21.392592592592592
2021-06,python programming,-40.192592592592604
2021-07,python programming,-31.792592592592612
2021-08,python programming,-35.192592592592604
2021-09,python programming,-32.192592592592604
2021-10,python programming,-31.392592592592607
2020-03,qigong,1.63333333333334
2020-04,qigong,13.433333333333351
2020-05,qigong,12.433333333333337
2020-06,qigong,23.23333333333334
2020-07,qigong,8.833333333333343
2020-08,qigong,0.43333333333335133
2020-09,qigong,4.233333333333334
2020-10,qigong,15.233333333333348
2020-11,qigong,-6.566666666666663
2020-12,qigong,5.033333333333346
2021-01,qigong,3.77222222222224
2021-02,qigong,1.27222222222224
2021-03,qigong,-2.622222222222206
2021-04,qigong,0.17777777777779136
2021-05,qigong,7.177777777777791
2021-06,qigong,4.9777777777777885
2021-07,qigong,-10.42222222222221
2021-08,qigong,18.17777777777779
2021-09,qigong,-10.022222222222226
